title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
위플래쉬,[dict_values(['드라마'])],20150312,106,15세이상관람가,데이미언 셔젤,0,2,위플래쉬,20145141,2015-03-12,1576247.0
신은 죽지 않았다,[dict_values(['드라마'])],20150416,112,12세이상관람가,해롤드 크론크,0,5,신은 죽지 않았다,20157782,2015-04-16,20364.0
킹스맨 : 시크릿 에이전트,"[dict_values(['액션']), dict_values(['스릴러'])]",20150211,128,청소년관람불가,매튜 본,0,4,킹스맨 : 시크릿 에이전트,20140110,2015-02-11,6126769.0
워킹걸,"[dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20150107,111,청소년관람불가,정범식,205,29,워킹걸,20147947,2015-01-07,151550.0
약장수,[dict_values(['드라마'])],20150423,104,15세이상관람가,조치언,132,16,약장수,20156321,2015-04-23,39831.0
스물,"[dict_values(['코미디']), dict_values(['드라마'])]",20150325,115,15세이상관람가,이병헌,300,25,스물,20148845,2015-03-25,3038708.0
"땡큐, 대디",[dict_values(['드라마'])],20150423,89,전체관람가,닐스 타베니어,0,2,"땡큐, 대디",20157021,2015-04-23,29228.0
이미테이션 게임,"[dict_values(['드라마']), dict_values(['스릴러'])]",20150217,114,15세이상관람가,모튼 틸덤,0,3,이미테이션 게임,20141962,2015-02-17,1740831.0
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,"[dict_values(['애니메이션']), dict_values(['코미디']), dict_values(['어드벤처'])]",20150423,96,전체관람가,타카하시 와타루,0,0,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,20158461,2015-04-23,138052.0
빌리와 용감한 녀석들 3,"[dict_values(['애니메이션']), dict_values(['어드벤처'])]",20150430,80,전체관람가,척 파워스,0,2,빌리와 용감한 녀석들 3,20158428,2015-04-30,87174.0
분노의 질주: 더 세븐,"[dict_values(['액션']), dict_values(['범죄']), dict_values(['스릴러'])]",20150401,137,15세이상관람가,제임스 완,0,4,분노의 질주: 더 세븐,20143580,2015-04-01,3228103.0
기생수 파트2,"[dict_values(['SF']), dict_values(['스릴러'])]",20150507,117,청소년관람불가,야마자키 타카시,0,4,기생수 파트2,20158561,2015-05-07,58617.0
노아의 방주: 남겨진 녀석들,[dict_values(['애니메이션'])],20150430,86,전체관람가,토비 젠켈,0,3,노아의 방주: 남겨진 녀석들,20158069,2015-04-30,217418.0
트래쉬,"[dict_values(['어드벤처']), dict_values(['드라마']), dict_values(['스릴러'])]",20150514,113,15세이상관람가,스티븐 달드리,0,5,트래쉬,20158703,2015-05-14,21255.0
연애의 맛,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20150507,101,청소년관람불가,김아론,201,18,연애의 맛,20149062,2015-05-07,212126.0
위험한 상견례 2,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20150429,118,15세이상관람가,김진영,244,27,위험한 상견례 2,20143512,2015-04-29,470460.0
언프렌디드: 친구삭제,"[dict_values(['공포(호러)']), dict_values(['스릴러'])]",20150507,82,15세이상관람가,레오 가브리아제,0,4,언프렌디드: 친구삭제,20158704,2015-05-07,216843.0
장수상회,"[dict_values(['멜로/로맨스']), dict_values(['드라마'])]",20150409,112,12세이상관람가,강제규,334,39,장수상회,20140703,2015-04-09,1159127.0
말할 수 없는 비밀,"[dict_values(['멜로/로맨스']), dict_values(['드라마'])]",20080110,101,12세이상관람가,주걸륜,0,4,말할 수 없는 비밀,20071066,2008-01-10,150325.0
다이노 타임,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['코미디'])]",20150430,85,전체관람가,최윤석,347,6,다이노 타임,20100211,2015-04-30,281513.0
스틸 앨리스,[dict_values(['드라마'])],20150429,101,12세이상관람가,리처드 글랫저,0,4,스틸 앨리스,20145042,2015-04-29,104390.0
차이나타운,"[dict_values(['범죄']), dict_values(['드라마'])]",20150429,109,청소년관람불가,한준희,244,32,차이나타운,20149266,2015-04-29,1470662.0
위아영,"[dict_values(['코미디']), dict_values(['드라마'])]",20150514,97,15세이상관람가,노아 바움백,0,4,위아영,20158670,2015-05-14,53093.0
하나와 앨리스: 살인사건,[dict_values(['애니메이션'])],20150527,98,12세이상관람가,이와이 슌지,0,2,하나와 앨리스: 살인사건,20158981,2015-05-27,2234.0
써드 퍼슨 - 감독판,"[dict_values(['드라마']), dict_values(['미스터리']), dict_values(['멜로/로맨스'])]",20150528,121,청소년관람불가,폴 해기스,0,5,써드 퍼슨 - 감독판,20159101,2015-05-28,1326.0
사이코패스,"[dict_values(['애니메이션']), dict_values(['판타지']), dict_values(['스릴러']), dict_values(['범죄']), dict_values(['SF'])]",20150528,114,15세이상관람가,시오타니 나오요시,0,2,사이코패스,20159655,2015-05-28,16595.0
피치 퍼펙트: 언프리티 걸즈,"[dict_values(['코미디']), dict_values(['뮤지컬'])]",20150528,114,15세이상관람가,엘리자베스 뱅크스,0,3,피치 퍼펙트: 언프리티 걸즈,20159141,2015-05-28,68542.0
차일드 44,[dict_values(['스릴러'])],20150528,137,청소년관람불가,다니엘 에스피노사,1,5,차일드 44,20159442,2015-05-28,18973.0
에벌리,[dict_values(['액션'])],20150604,92,청소년관람불가,조 린치,0,1,에벌리,20159623,2015-06-04,2739.0
